,Title,BERT label,BERT label words,TFIDF label,TFIDF label words,BERT + TFIDF label,BERT + TFIDF label words,Comment Count,Time elapsed (mins),Upvotes,Upvote Ratio
Post 31,All my classes are online? SHOULD I JUST STAY HOME?,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",1,"[('anyone', 2), ('still', 2), ('i', 2), ('internship', 2), ('know', 2), ('is', 1), ('else', 1), ('kind', 1), ('concerned', 1), ('storms', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",10,145.0,16,1.0
Post 32,Still don’t have an internship (CS),12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",1,"[('anyone', 2), ('still', 2), ('i', 2), ('internship', 2), ('know', 2), ('is', 1), ('else', 1), ('kind', 1), ('concerned', 1), ('storms', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",5,1294.0,16,0.91
Post 33,Brought to you by my damaged Cornea. Don't look into the light...,10,"[('are', 1), ('martha', 1), ('co.', 1), ('*trying*', 1), ('see', 1), ('us', 1), ('fail?!', 1), ('brought', 1), ('damaged', 1), ('cornea.', 1)]",10,"[('brought', 1), ('damaged', 1), ('cornea.', 1), (""don't"", 1), ('look', 1), ('light...', 1), ('sophomore', 1), ('dorm', 1)]",10,"[('are', 1), ('martha', 1), ('co.', 1), ('*trying*', 1), ('see', 1), ('us', 1), ('fail?!', 1), ('brought', 1), ('damaged', 1), ('cornea.', 1)]",2,1378.0,39,1.0
Post 34,If you know you know,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",1,"[('anyone', 2), ('still', 2), ('i', 2), ('internship', 2), ('know', 2), ('is', 1), ('else', 1), ('kind', 1), ('concerned', 1), ('storms', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",0,122.0,12,1.0
Post 35,Anyone have experience with an internship or co-op during the semester?,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",1,"[('anyone', 2), ('still', 2), ('i', 2), ('internship', 2), ('know', 2), ('is', 1), ('else', 1), ('kind', 1), ('concerned', 1), ('storms', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",1,581.0,11,1.0
Post 36,Sophomore Dorm,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",10,"[('brought', 1), ('damaged', 1), ('cornea.', 1), (""don't"", 1), ('look', 1), ('light...', 1), ('sophomore', 1), ('dorm', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",3,555.0,10,0.92
Post 37,CHEM 3580 and Sapling,4,"[('chem', 3), ('3580', 2), ('sapling', 1), ('3570', 1)]",11,"[('chem', 2), ('3580', 2), ('sapling', 1)]",4,"[('chem', 3), ('3580', 2), ('sapling', 1), ('3570', 1)]",10,332.0,10,1.0
Post 38,Am I right to be star struck by Cornell?,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",1,"[('anyone', 2), ('still', 2), ('i', 2), ('internship', 2), ('know', 2), ('is', 1), ('else', 1), ('kind', 1), ('concerned', 1), ('storms', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",4,1358.0,13,1.0
Post 39,A Tragic End,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",2,"[('a', 1), ('tragic', 1), ('end', 1), ('late', 1), ('arrival', 1), ('move', 1), ('day', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",7,1260.0,11,0.8300000000000001
Post 40,Late Arrival on move in day,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",2,"[('a', 1), ('tragic', 1), ('end', 1), ('late', 1), ('arrival', 1), ('move', 1), ('day', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",1,565.0,6,0.8
